community,liter_num,done_date,developer,floor,area,num_beds,price_per_m,date
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,1-4,32.95,1,118000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,5-8,32.95,1,119000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,9-12,32.95,1,120000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,13-16,32.95,1,121000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,1-4,35.2,1,117000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,5-8,35.2,1,118000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,9-12,35.2,1,119000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,13-16,35.2,1,120000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,1-3,,2,100000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,4,,2,101000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,5-8,,2,102000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,9-12,,2,103000,2022-01-25
ЖК «Смородина»,1-5,1 квартал 2023,ООО «АЛЬФА»,13-16,,2,103000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,1-4,32.95,1,114000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,5-8,32.95,1,115000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,9-12,32.95,1,116000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,13-16,32.95,1,117000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,1-4,35.2,1,113000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,5-8,35.2,1,114000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,9-12,35.2,1,115000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,13-16,35.2,1,116000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,1-4,50.0,2,96000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,5-8,50.0,2,97000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,9-12,50.0,2,98000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,13-16,50.0,2,99000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,1-4,57.78,2,93000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,5-8,57.79,2,94000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,9-12,57.8,2,95000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,13-16,57.81,2,96000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,1-4,68.22,3,95000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,5-8,68.22,3,96000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,9-12,68.22,3,97000,2022-01-25
ЖК «Смородина»,2-3-4,4 квартал 2023,ООО «АЛЬФА»,13-16,68.22,3,98000,2022-01-25
ЖК «The Grand Palace»,nan,2 квартал 2022,ООО «АВА ДЕВЕЛОПМЕНТ»,6-7,23.5,1,225000,2022-01-25
ЖК «The Grand Palace»,nan,2 квартал 2022,ООО «АВА ДЕВЕЛОПМЕНТ»,8-9,23.5,1,236000,2022-01-25
