id,days_to_done_x,price_at_moment,1000_to_done,700_to_done,500_to_done,300_to_done,max_price_after_invest,increase,increase_procent,days_for_increase,status,200_to_done,100_to_done,50_to_done,0_to_done,-50_to_done,-100_to_done,risk,community,liter_num,done_date,developer,floor,area,num_beds,days_to_done_y
6aec4e83-9c8c-4868-a88d-200acf50c6a9,414,4313432,4383463,4402803,4351453,4353278,4353278,39846,0.92,114,short,4300979,4272868,4272868,4171391,4171391,4168944,riskey,ЖК «Смородина»,1-5,2023-03-15,ООО «АЛЬФА»,1-4,32.95,1,414
3a3e88ed-5671-4893-b276-6e31e09d425b,414,4614225,4688287,4709698,4654842,4656792,4656792,42567,0.92,114,short,4600921,4570891,4570891,4446567,4446567,4430335,riskey,ЖК «Смородина»,1-5,2023-03-15,ООО «АЛЬФА»,1-4,35.2,1,414
1337487c-fc88-4084-82c9-6325c624cdeb,689,4402803,4383463,4402803,4351453,4353278,4353278,-49525,-1.12,389,long,4300979,4272868,4272868,4171391,4171391,4168944,bad,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,1-4,32.95,1,689
eed05176-e97e-476d-9641-17253135c7e6,689,4709698,4688287,4709698,4654842,4656792,4656792,-52906,-1.12,389,long,4600921,4570891,4570891,4446567,4446567,4430335,bad,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,1-4,35.2,1,689
894d96d7-0319-4f84-a26f-a89d918b0ec6,689,5606903,5733590,5606903,5495606,5513751,5867835,260932,4.65,639,long,5608027,5867835,5867835,5759654,5759654,5704205,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,1-4,50.0,2,689
fdabfcbf-3a51-4c7f-8db9-59d17d11fde6,689,6411950,6670947,6411950,6283336,6289946,6752350,340400,5.31,639,long,6391540,6752350,6752350,6733832,6733832,6660380,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,1-4,57.78,2,689
99279e68-68bf-4d9c-a85e-811503a9b879,689,6359777,6610846,6359777,6231141,6237752,6700236,340459,5.35,639,long,6339363,6700236,6700236,6681715,6681715,6608250,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,5-8,57.79,2,689
c919e09d-40dd-4457-b38c-df45d4454adc,689,6330762,6580428,6330762,6202103,6208716,6671279,340517,5.38,639,long,6310344,6671279,6671279,6652755,6652755,6579278,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,9-12,57.8,2,689
c2ed291a-c51c-4eb1-88e1-f34323543186,689,6331857,6581566,6331857,6203176,6209790,6672433,340576,5.38,639,long,6311436,6672433,6672433,6653906,6653906,6580416,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,13-16,57.81,2,689
36e3517f-20f5-493d-adad-4305228ff1fb,689,7409322,7853157,7409322,7237317,7245566,7737968,328646,4.44,639,long,7337370,7737968,7737968,7716104,7716104,7660412,riskey,ЖК «Смородина»,2-3-4,2023-12-15,ООО «АЛЬФА»,1-4,68.22,3,689
