link,floor,rooms_count,total_meters,price,year_of_construction,living_meters,kitchen_meters,pred_price,diff,marker
https://krasnodar.cian.ru/sale/flat/279661943/,20,1,43.0,4950000,2021,18.2,14.8,4283515.529580329,-13.464332735750938,underpriced
https://krasnodar.cian.ru/sale/flat/283765339/,5,1,40.0,4100000,2006,22.9,9.7,3961313.78110595,-3.3825907047329267,underpriced
https://krasnodar.cian.ru/sale/flat/280008092/,10,2,61.2,7150000,2017,11.5,11.2,4384589.98997673,-38.677063077248526,underpriced
https://krasnodar.cian.ru/sale/flat/283282828/,6,2,63.4,4530000,2010,31.5,16.8,4974592.501477859,9.814404006133753,overpriced
https://krasnodar.cian.ru/sale/flat/283383338/,6,1,41.5,3500000,2017,19.7,10.8,4035056.3277820195,15.287323650914843,overpriced
https://krasnodar.cian.ru/sale/flat/283680222/,14,2,62.5,6400000,2017,30.1,13.7,4965849.523596112,-22.408601193810757,underpriced
https://krasnodar.cian.ru/sale/flat/283480722/,1,1,31.0,4000000,1968,20.0,7.0,3444986.3300971123,-13.875341747572191,underpriced
https://krasnodar.cian.ru/sale/flat/283752257/,4,1,32.4,3200000,2014,12.0,10.0,3624687.390049182,13.271480939036934,overpriced
https://krasnodar.cian.ru/sale/flat/282356692/,1,1,28.0,2750000,2013,16.0,8.0,3465620.177695832,26.02255191621208,overpriced
https://krasnodar.cian.ru/sale/flat/273270612/,2,2,90.0,6599000,2021,55.0,21.0,4922973.865133356,-25.398183586401633,underpriced
https://krasnodar.cian.ru/sale/flat/280424115/,3,1,39.0,4500000,-1,20.0,11.0,3831755.521144018,-14.84987730791071,underpriced
https://krasnodar.cian.ru/sale/flat/283603628/,18,1,43.57,4999000,2017,16.2,12.1,4160520.985951203,-16.77293486794953,underpriced
https://krasnodar.cian.ru/sale/flat/282107098/,9,1,37.0,3990000,2005,17.8,9.9,3845429.183850026,-3.6233287255632525,underpriced
https://sochi.cian.ru/sale/flat/279517150/,2,1,29.0,4900000,2017,13.0,10.0,3549682.178705,-27.55750655704082,underpriced
https://krasnodar.cian.ru/sale/flat/272245137/,1,1,42.0,2900000,2014,16.0,10.0,3877519.1922378885,33.707558353030635,overpriced
https://krasnodar.cian.ru/sale/flat/282065999/,3,2,52.3,3750000,1984,29.4,9.3,4123144.614744915,9.950523059864404,overpriced
https://krasnodar.cian.ru/sale/flat/278667769/,14,3,84.0,8450000,2022,50.0,15.0,5299303.6279906975,-37.28634759774322,underpriced
https://krasnodar.cian.ru/sale/flat/283026114/,13,1,36.0,3750000,2022,17.0,9.0,3876739.5174480206,3.3797204652805504,overpriced
https://krasnodar.cian.ru/sale/flat/257580927/,4,1,18.0,5200000,2016,13.0,2.0,3538982.790967195,-31.94263863524625,underpriced
https://krasnodar.cian.ru/sale/flat/283172692/,7,3,96.5,5800000,2013,55.0,15.0,5218005.511379066,-10.034387734843692,underpriced
https://krasnodar.cian.ru/sale/flat/282662025/,2,1,28.0,2800000,1918,20.0,5.0,3646467.950680927,30.230998238604535,overpriced
https://krasnodar.cian.ru/sale/flat/276432925/,2,1,36.2,3200000,2014,13.0,10.0,3687466.423188015,15.233325724625466,overpriced
https://krasnodar.cian.ru/sale/flat/278388612/,1,1,38.1,3490000,2006,17.9,9.3,3670007.417992805,5.157805673146279,overpriced
https://krasnodar.cian.ru/sale/flat/281630511/,5,1,36.0,3350000,2013,16.0,8.0,3765030.0129893683,12.388955611622933,overpriced
https://krasnodar.cian.ru/sale/flat/282423695/,16,1,35.7,3150000,2022,13.2,12.0,3938292.7564227725,25.025166870564206,overpriced
https://krasnodar.cian.ru/sale/flat/278036321/,2,1,41.9,3000000,2016,16.5,14.3,4068490.1815892207,35.61633938630735,overpriced
https://krasnodar.cian.ru/sale/flat/240713145/,3,1,29.78,2700000,1970,15.1,10.0,3575900.9027993674,32.44077417775435,overpriced
https://krasnodar.cian.ru/sale/flat/277032012/,15,1,25.0,2650000,2022,18.0,4.0,3615884.463909024,36.44847033618958,overpriced
https://krasnodar.cian.ru/sale/flat/279184758/,1,2,51.6,3000000,1988,28.5,10.5,3949405.899477677,31.646863315922566,overpriced
https://krasnodar.cian.ru/sale/flat/269167460/,16,1,26.1,3450000,2020,10.4,6.0,3633447.362342088,5.317314850495305,overpriced
https://krasnodar.cian.ru/sale/flat/282345793/,10,1,26.0,3300000,2015,18.0,8.0,3616465.0227082847,9.589849172978322,overpriced
https://novorossiysk.cian.ru/sale/flat/282930853/,4,1,18.3,3000000,1975,13.0,5.0,3572176.2660917006,19.07254220305669,overpriced
https://krasnodar.cian.ru/sale/flat/275458372/,1,1,46.4,3200000,2018,19.6,9.8,3949697.4385563335,23.428044954885422,overpriced
https://krasnodar.cian.ru/sale/flat/277899542/,3,2,36.0,3400000,1983,21.7,5.8,3779070.498087205,11.1491322966825,overpriced
https://krasnodar.cian.ru/sale/flat/270421811/,18,1,38.0,3450000,2022,14.0,13.0,4051508.6954066497,17.435034649468108,overpriced
https://krasnodar.cian.ru/sale/flat/280904052/,1,1,37.0,3300000,2009,18.0,13.0,3785211.1237878622,14.703367387510976,overpriced
https://krasnodar.cian.ru/sale/flat/280608207/,18,1,27.3,3250000,2016,16.8,6.0,3648064.9022420817,12.248150838217898,overpriced
https://krasnodar.cian.ru/sale/flat/279100935/,4,1,42.0,3050000,-1,20.6,10.5,3921952.5619345084,28.58860858801667,overpriced
https://krasnodar.cian.ru/sale/flat/280782416/,4,2,50.0,3100000,1997,27.3,8.5,4222203.331586833,36.200107470543,overpriced
https://krasnodar.cian.ru/sale/flat/282152031/,4,1,27.0,3200000,-1,16.0,6.0,3847701.8405199703,20.24068251624907,overpriced
https://krasnodar.cian.ru/sale/flat/280463544/,7,1,23.6,3000000,2018,22.0,-1.0,3563053.8048616974,18.768460162056577,overpriced
https://krasnodar.cian.ru/sale/flat/275457665/,3,1,35.71,3200000,-1,17.1,10.3,3820077.473666282,19.37742105207131,overpriced
https://krasnodar.cian.ru/sale/flat/275389929/,2,1,34.02,3300000,2017,17.7,8.4,3591916.4097863277,8.845951811706902,overpriced
https://krasnodar.cian.ru/sale/flat/279894293/,5,3,57.8,3400000,1987,39.0,7.0,4298717.649972375,26.432872058011018,overpriced
https://krasnodar.cian.ru/sale/flat/281374038/,4,1,26.8,2850000,1961,15.0,-1.0,3717752.791848957,30.44746638066516,overpriced
https://krasnodar.cian.ru/sale/flat/273450154/,21,1,26.7,2950000,2022,24.9,-1.0,3656257.995547106,23.940949001596813,overpriced
https://krasnodar.cian.ru/sale/flat/277855736/,5,1,27.7,3100000,2016,16.7,-1.0,3548444.7118579815,14.46595844703166,overpriced
https://sochi.cian.ru/sale/flat/282147830/,3,1,18.0,3150000,1978,15.0,2.0,3547924.836530908,12.6325344930447,overpriced
https://krasnodar.cian.ru/sale/flat/281857131/,18,1,24.0,3400000,2017,11.0,9.0,3677393.771521736,8.158640338874585,overpriced
https://krasnodar.cian.ru/sale/flat/275561010/,10,1,44.7,3400000,2022,21.9,10.0,4134284.1039450066,21.596591292500197,overpriced
https://krasnodar.cian.ru/sale/flat/279417510/,16,1,37.15,3500000,2014,22.1,-1.0,3840491.443779968,9.728326965141948,overpriced
https://krasnodar.cian.ru/sale/flat/276861849/,17,1,38.0,3500000,2021,16.5,10.0,3944943.3431153563,12.712666946153037,overpriced
